Date,Open,High,Low,Close,Adj Close,Volume
2010-02-01,28.389999,29.030001,27.570000,28.670000,22.566137,1074643300
2010-03-01,28.770000,30.570000,28.240000,29.290001,23.161951,1110237200
2010-04-01,29.350000,31.580000,28.620001,30.540001,24.150423,1319029500
2010-05-01,30.670000,31.059999,24.559999,25.799999,20.402130,1720130200
2010-06-01,25.530001,26.930000,22.950001,23.010000,18.277956,1671811600
2010-07-01,23.090000,26.410000,22.730000,25.809999,20.502129,1408590600
2010-08-01,25.990000,26.379999,23.320000,23.469999,18.643351,1279372100
2010-09-01,23.670000,25.530001,23.540001,24.490000,19.557364,1273139500
2010-10-01,24.770000,27.200001,23.780001,26.670000,21.298275,1281432800
2010-11-01,26.879999,28.870001,24.930000,25.260000,20.172279,1361176300
2010-12-01,25.570000,28.400000,25.559999,27.910000,22.425476,1033710000
2011-01-01,28.049999,29.459999,27.420000,27.730000,22.280842,1361258700
2011-02-01,27.799999,28.340000,26.430000,26.580000,21.356827,1114368500
2011-03-01,26.600000,26.780001,24.680000,25.389999,20.521252,1310885200
2011-04-01,25.530001,26.870001,24.719999,25.920000,20.949627,1313844800
2011-05-01,25.940001,26.250000,24.030001,25.010000,20.214121,1364062800
2011-06-01,24.990000,26.000000,23.650000,26.000000,21.152029,1297757600
2011-07-01,25.930000,28.150000,25.840000,27.400000,22.290976,1259328200
2011-08-01,27.510000,27.690001,23.790001,26.600000,21.640150,1719339500
2011-09-01,26.459999,27.500000,24.600000,24.889999,20.376801,1279920200
2011-10-01,24.719999,27.500000,24.260000,26.629999,21.801298,1218142500
2011-11-01,26.190001,27.200001,24.299999,25.580000,20.941681,1046207400
2011-12-01,25.559999,26.190001,25.160000,25.959999,21.412815,1007166600
2012-01-01,26.549999,29.950001,26.389999,29.530001,24.357492,1354858100
2012-02-01,29.790001,32.000000,29.709999,31.740000,26.180387,984332300
2012-03-01,31.930000,32.950001,31.490000,32.259998,26.784479,942366500
2012-04-01,32.220001,32.889999,30.230000,32.020000,26.585217,940739700
2012-05-01,32.049999,32.340000,28.639999,29.190001,24.235556,1014372600
2012-06-01,28.760000,31.139999,28.320000,30.590000,25.564577,973131400
2012-07-01,30.620001,31.049999,28.540001,29.469999,24.628580,846604100
2012-08-01,29.590000,30.959999,28.969999,30.820000,25.756800,671748400
2012-09-01,30.450001,31.610001,29.740000,29.760000,25.035702,893107700
2012-10-01,29.809999,30.250000,27.760000,28.540001,24.009365,1105402300
2012-11-01,28.840000,30.200001,26.340000,26.620001,22.394163,1310516100
2012-12-01,26.780001,27.730000,26.260000,26.709999,22.654514,947310900
2013-01-01,27.250000,28.230000,26.280001,27.450001,23.282162,1145054400
2013-02-01,27.670000,28.200001,27.100000,27.799999,23.579020,780587000
2013-03-01,27.719999,28.660000,27.520000,28.610001,24.466942,844946000
2013-04-01,28.639999,33.110001,28.110001,33.099998,28.306734,1465757200
2013-05-01,32.930000,35.279999,32.320000,34.900002,29.846075,1071860000
2013-06-01,34.919998,35.779999,32.570000,34.540001,29.745335,945155500
2013-07-01,34.750000,36.430000,31.020000,31.840000,27.420134,1111130600
2013-08-01,32.060001,35.200001,30.840000,33.400002,28.763582,1051265000
2013-09-01,31.750000,33.750000,30.950001,33.279999,28.862198,1242961500
2013-10-01,33.349998,36.290001,32.799999,35.410000,30.709454,965331500
2013-11-01,35.669998,38.290001,35.389999,38.130001,33.068390,800431600
2013-12-01,38.090000,38.980000,35.529999,37.410000,32.690006,826617700
2014-01-01,37.349998,37.889999,34.630001,37.840000,33.065754,930226200
2014-02-01,37.740002,38.459999,35.689999,38.310001,33.476463,705304500
2014-03-01,37.919998,41.500000,37.490002,40.990002,36.086914,778425700
2014-04-01,41.150002,41.660000,38.900002,40.400002,35.567490,746112500
2014-05-01,40.240002,40.970001,38.509998,40.939999,36.042900,574362900
2014-06-01,40.950001,42.290001,39.860001,41.700001,36.970985,555767300
2014-07-01,41.860001,45.709999,41.049999,43.160000,38.265415,731616500
2014-08-01,43.209999,45.470001,42.209999,45.430000,40.277969,513919700
2014-09-01,45.430000,47.570000,44.529999,46.360001,41.359222,860827300
2014-10-01,46.270000,46.970001,42.099998,46.950001,41.885574,853260900
2014-11-01,46.889999,50.049999,46.730000,47.810001,42.652817,523005900
2014-12-01,47.880001,49.060001,44.900002,46.450001,41.700874,626771200
2015-01-01,46.660000,47.910000,40.349998,40.400002,36.269444,918966800
