Date,Open,High,Low,Close,Adj Close,Volume
2010-02-01,266.301849,272.727753,259.029083,262.416412,262.416412,104456600
2010-03-01,263.611908,293.041595,262.884644,282.501129,282.501129,168175200
2010-04-01,284.608215,297.803772,259.542175,261.868439,261.868439,146668000
2010-05-01,262.266968,265.464966,229.141129,241.908264,241.908264,163731700
2010-06-01,239.317978,253.674164,221.529648,221.644226,221.644226,120172800
2010-07-01,221.813583,247.821106,216.005356,241.519730,241.519730,139137800
2010-08-01,243.582001,253.350388,222.989182,224.169754,224.169754,106104600
2010-09-01,226.640503,267.422638,225.405121,261.913300,261.913300,119847700
2010-10-01,264.010437,311.203522,258.456238,305.704132,305.704132,159288700
2010-11-01,306.715363,314.247131,275.621887,276.817413,276.817413,117319800
2010-12-01,280.448822,302.366669,280.149933,295.875977,295.875977,84885300
2011-01-01,297.126312,320.279510,296.663025,299.059052,299.059052,120416700
2011-02-01,301.116333,314.411499,299.552216,305.554718,305.554718,84049700
2011-03-01,307.736542,308.453827,274.610687,292.284454,292.284454,120726500
2011-04-01,293.280701,296.483704,258.530975,271.034088,271.034088,141007800
2011-05-01,271.831116,271.846069,255.741425,263.522247,263.522247,90993400
2011-06-01,263.034088,265.604462,235.626816,252.244522,252.244522,118691200
2011-07-01,252.423859,312.578369,252.244522,300.717834,300.717834,162716400
2011-08-01,304.468781,306.600800,244.513504,269.469971,269.469971,214349100
2011-09-01,269.365356,278.217163,254.296829,256.558350,256.558350,117696900
2011-10-01,253.973053,300.224670,239.402664,295.213470,295.213470,155007600
2011-11-01,288.966888,307.995544,279.616913,298.575867,298.575867,121050800
2011-12-01,298.879730,322.172424,298.381592,321.744019,321.744019,110505700
2012-01-01,325.250885,333.873566,281.220917,288.971863,288.971863,147835300
2012-02-01,291.377838,311.631927,288.488678,307.970642,307.970642,95082200
2012-03-01,309.968170,328.065338,295.811218,319.422729,319.422729,95012700
2012-04-01,319.188599,325.350494,293.998016,301.295685,301.295685,118194700
2012-05-01,300.767639,317.734070,288.418945,289.345459,289.345459,117784500
2012-06-01,284.827393,292.847351,277.220917,288.951935,288.951935,93355200
2012-07-01,289.823669,320.100189,279.995514,315.303162,315.303162,102955500
2012-08-01,317.460083,343.208557,310.541016,341.265839,341.265839,94477000
2012-09-01,340.996857,381.016846,335.492493,375.841248,375.841248,120804300
2012-10-01,378.107758,385.744141,333.599579,338.879791,338.879791,144134100
2012-11-01,338.481293,348.304474,316.812500,347.881042,347.881042,93706000
2012-12-01,349.808838,363.188690,339.890991,352.369232,352.369232,83701600
2013-01-01,358.366760,379.054199,346.461365,376.434021,376.434021,105201100
